Text	Label	Saliency	Words	Correct
sister of man who died in vancouver police custody slams chief ( canadian press ) canadian press - vancouver ( cp ) - the sister of a man who died after a violent confrontation with police has demanded the city ' s chief constable resign for defending the officer involved .	0	N/A	All	N/A
......vancouver .....press canadian press vancouver ...........................	0	All_Attention	5	1
....died .vancouver ....canadian press canadian press vancouver .......died .........city ..constable ......	0	All_Attention	10	1
sister .man .died .vancouver ....canadian press canadian press vancouver .the sister ..man .died ...confrontation ...demanded .city ..constable resign .defending .officer .	0	All_Attention	20	1
sister of man .died in vancouver police .slams chief canadian press canadian press vancouver cp the sister ..man who died after ..confrontation .police .demanded the city ..constable resign .defending .officer .	0	All_Attention	30	1
sister of man who died in vancouver police custody slams chief canadian press canadian press vancouver cp the sister of a man who died after .violent confrontation with police has demanded the city ..constable resign for defending the officer involved 	0	All_Attention	40	1
......vancouver .....press canadian press vancouver ...........................	0	Last_Attention	5	1
.of ....vancouver police ...canadian press canadian press vancouver cp ................city .........	0	Last_Attention	10	1
.of man who died in vancouver police ...canadian press canadian press vancouver cp the ..a man .died .........city s ......officer .	0	Last_Attention	20	1
sister of man who died in vancouver police custody slams chief canadian press canadian press vancouver cp the sister of a man who died .........city s chief constable ....officer involved 	0	Last_Attention	30	1
sister of man who died in vancouver police custody slams chief canadian press canadian press vancouver cp the sister of a man who died after a violent confrontation .police has ..city s chief constable resign for defending the officer involved 	0	Last_Attention	40	1
...........canadian press canadian press vancouver ...........................	0	Vanilla_Gradient	5	1
......vancouver .custody slams .canadian press canadian press vancouver cp ...................constable ......	0	Vanilla_Gradient	10	1
sister .....vancouver police custody slams chief canadian press canadian press vancouver cp .sister ........confrontation ...demanded .city ..constable resign .defending ..involved 	0	Vanilla_Gradient	20	1
sister .man .died .vancouver police custody slams chief canadian press canadian press vancouver cp the sister .......violent confrontation .police has demanded the city s chief constable resign .defending .officer involved 	0	Vanilla_Gradient	30	1
sister of man who died in vancouver police custody slams chief canadian press canadian press vancouver cp the sister of a man who died after .violent confrontation .police has demanded the city s chief constable resign .defending the officer involved 	0	Vanilla_Gradient	40	1
........custody .chief .......sister .............the ..chief .......	0	InputXGrad	5	0
