Text	Label	Saliency	Words	Correct
this film appears to be an expose of the current trend towards globalization and homo ##gen ##ization in the wine industry . wine ##ries around the world are more and more either joining large conglomerate ##s ( the american producer , mon ##dav ##i , in the case of this film ) or paying high - priced experts to help them make " the perfect wine " - - and as a result , wines are becoming very standard and predictable . to some , this is a good thing ( especially since few can afford to pay $ 50 or more for an everyday wine ) and to others this is horrible as the unique ##ness of smaller wine ##ries is disappearing . i truly can understand the concerns of both sides and don ' t think there is a villain or hero in this business . sure , good and cheaper wine is a nice thing , but like what ' s happened with beers ( with giants like un ##ib ##rew and an ##hei ##ser - busch ) , food ( mcdonald ##s ) , shopping ( european shopping malls are almost ind ##ist ##ing ##uis ##hab ##le from american ones ) and mega - stores ( like wal ##mart / as ##da ) are taking away much of the unique ##ness of " the little guys " . so i definitely was ready and willing to listen to these film makers . however , with a product that is almost two and a half hours long and a general lack of focus , the film simply became too big a cho ##re to watch and i lost interest . an 80 - 90 minute focused film would have been much more effective - - especially since the average viewer is not an o ##eno ##phile ( that ' s the high - brow word for a " wine afi ##cion ##ado " ) . < br / > < br / > on the very positive side , the film makers are smart not to do much talking at all - - and simply let those on both sides of the issue do the talking . plus , the topic is so relevant and timely . however , despite choosing a good style of documentary making , the film simply goes on way , way , way too long and ended up making a very dull film .	0	N/A	All	N/A
..appears .........globalization ............................................wines .................................horrible ........................villain .............................................................................	0	All_Attention	5	1
..appears .........globalization ........................case ...................wines .................................horrible .......disappearing ................villain ......................giants .................and .............................however ......	0	All_Attention	10	1
.film appears ...expose .....globalization ...............joining .conglomerate ......case ..film ....experts ...........wines .....predictable ...........................horrible .......disappearing ................villain ........cheaper .............giants ..........malls ......and .....are .......................however ......	0	All_Attention	20	1
this film appears ...expose .....globalization ...............joining .conglomerate ......case ..film or ...experts .....perfect .....wines .....predictable .........few .................horrible .......disappearing i ...............villain ........cheaper ...........beers .giants ....busch .....malls ......and .....are taking ..........i ......listen ....however ......	0	All_Attention	30	0
this film appears ...expose .....globalization ..........are ...either joining .conglomerate ......case ..film or ...experts .....perfect .....wines .becoming ...predictable .........few ..........everyday ......horrible as ......disappearing i ..understand ............villain ........cheaper ...........beers with giants ....busch .....malls ......and .....are taking ..........i definitely .....listen ....however with .product ...	0	All_Attention	40	0
...........................................................................................horrible .........truly ..................this ...................................................................with a ....	0	Last_Attention	5	1
this .appears ........................................................................................horrible as .......i truly ..................this ................beers ..................................................with a ....	0	Last_Attention	10	0
this film appears ..an ...........wine ..........joining ............................wines .................................horrible as .......i truly .........t ........this ................beers ........................as ............i ........these ...with a ...almost 	0	Last_Attention	20	1
this film appears .be an ...........wine ..........joining ..........this .................wines ...standard .......................wine .....horrible as .......i truly ......sides and don t ........this ................beers ....and ...................as ............i ........these ..however with a product ..almost 	0	Last_Attention	30	0
this film appears .be an ......globalization ....wine .wine ........joining ..........this film ................wines ...standard and ......................wine .....horrible as .......i truly ......sides and don t think .......this .....wine ..........beers with .like .and ...................as ............i ........these film .however with a product .is almost 	0	Last_Attention	40	0
...............................................................predictable ...........................horrible ........................villain ......................................................................however .....almost 	0	Vanilla_Gradient	5	0
...............................................................predictable .........................this .horrible ........................villain ...........................................................definitely .ready ........however with .product ..almost 	0	Vanilla_Gradient	10	0
......expose .....globalization ..................................................predictable .some .......................this is horrible as .unique ....disappearing ................villain ....business ......................................................definitely was ready .willing ......however with .product ..almost 	0	Vanilla_Gradient	20	0
......expose .....globalization ................................................standard .predictable to some ......................others this is horrible as .unique ....disappearing i truly ..............villain .hero .this business ..........................................taking ..........i definitely was ready .willing .listen ....however with .product ..almost 	0	Vanilla_Gradient	30	0
.film appears ...expose .....globalization ................................................standard .predictable to some ......................others this is horrible as .unique ....disappearing i truly ..............villain .hero .this business ..............................almost ...........taking away .......guys so i definitely was ready and willing .listen ...makers however with a product .is almost 	0	Vanilla_Gradient	40	0
.........................................................................................this .horrible ........................................................................................willing .......with ....almost 	0	InputXGrad	5	1
.........................................................................................this .horrible .....wine ..................villain ...this ........................................................was ..willing ..to ....with ....almost 	0	InputXGrad	10	1
...........................................................................afford ..$ ......wine ...this .horrible .....wine .disappearing ......of .....think ...villain ...this ................................ind .......................was ..willing ..to .film makers .with a ...almost 	0	InputXGrad	20	0
....be .................................of ...........the .........very ..............afford ..$ ......wine ...this .horrible .....wine .disappearing ......of ....t think ...villain ...this ....cheaper .....................shopping .....ind ..............the .of ......was ..willing ..to .film makers .with a product ..almost 	0	InputXGrad	30	0
....be ..............................in ..of ........help ..the .........very .....this ........afford ..$ ......wine ...this .horrible .....wine .disappearing ......of ..and don t think there ..villain ...this ...and cheaper ..................busch ..shopping .....ind ....mega .........the .of ......was ready .willing ..to .film makers .with a product ..almost 	0	InputXGrad	40	0
...............................................................predictable .........................this .horrible .......disappearing .......................................................................................however ......	0	Integrated_Gradient	5	1
...............................................................predictable .........................this .horrible .......disappearing i ...............villain .............................................................ready ........however with .product ...	0	Integrated_Gradient	10	1
.....an ....................................paying ....................predictable .......especially .few ...............this .horrible ......is disappearing i truly ..............villain ...this ...........................................taking .............ready .....these ..however with .product ..almost 	0	Integrated_Gradient	20	1
..appears ..an .of ...........wine ......................paying .....them ........wines .....predictable .......especially .few ...............this .horrible .....wine is disappearing i truly ....of .........villain ...this .....wine .....................................taking .............ready ....to these ..however with .product that .almost 	0	Integrated_Gradient	30	0
..appears ..an .of .........wine .wine ......................paying ..experts to .them ...wine ....wines ...standard .predictable .......especially .few ...............this .horrible .....wine is disappearing i truly ....of ..and ......villain ...this .....wine ..........beers ....and .....................taking .............ready ....to these .makers however with a product that .almost 	0	Integrated_Gradient	40	1
.........................................................................................this .horrible ........................................................................................willing .......with ....almost 	0	DeepLIFT	5	1
.........................................................................................this .horrible .....wine ..................villain ...this ........................................................was ..willing ..to ....with ....almost 	0	DeepLIFT	10	0
...........................................................................afford ..$ ......wine ...this .horrible .....wine .disappearing ......of .....think ...villain ...this ................................ind .......................was ..willing ..to .film makers .with a ...almost 	0	DeepLIFT	20	0
....be .................................of ...........the .........very ..............afford ..$ ......wine ...this .horrible .....wine .disappearing ......of ....t think ...villain ...this ....cheaper ..................busch ..shopping .....ind ..............the ........was ..willing ..to .film makers .with a product ..almost 	0	DeepLIFT	30	1
....be ..............................in ..of ........help ..the .........very .....this ........afford ..$ ......wine ...this .horrible .....wine .disappearing ......of ..and don t think there ..villain ...this ...and cheaper ..................busch ..shopping .....ind ....mega .........the .of ......was ready .willing ..to .film makers .with a product ..almost 	0	DeepLIFT	40	1
..............................................................................$ .........others .....................don ............good ..............with .......................................................	0	LIME	5	0
................................................................to .............$ ......wine ..others .....................don ............good ..............with giants ..........malls .almost .........................................	0	LIME	10	0
..appears ..an ...........................producer ..............................to .this ...........$ ...for ..wine ..others .....................don ............good ..............with giants ..........malls .almost ind from .......as .............definitely ..and ..............	0	LIME	20	0
